fecha,ChatGPT,Midjourney,GitHub Copilot,Gemini,Perplexity,Claude,DALL-E,Code Llama,Llama,Kimi,Grok,Stable Diffusion,Tabnine,Mistral AI,You.com,Microsoft Copilot,Runway Gen-2,AlphaCode,Sora,DeepMind
2022-05-15,0,0,0,0,0,2,0,0,51,1,1,0,0,0,0,0,0,0,6,1
2022-05-22,0,0,0,0,0,1,0,0,47,1,0,0,0,0,0,0,0,0,5,1
2022-05-29,0,0,0,0,0,1,0,0,45,1,0,0,0,0,0,0,0,0,5,1
2022-06-05,0,0,0,0,0,1,1,0,47,1,0,0,0,0,0,0,0,0,5,0
2022-06-12,0,0,0,0,0,1,2,0,46,1,0,0,0,0,0,0,0,0,6,1
2022-06-19,0,0,0,0,0,1,1,0,45,0,0,0,0,0,0,0,0,0,5,0
2022-06-26,0,0,0,0,0,1,1,0,45,1,0,0,0,0,0,0,0,0,5,0
2022-07-03,0,0,0,0,0,1,0,0,44,1,0,0,0,0,0,0,0,0,6,0
2022-07-10,0,0,0,0,0,1,0,0,46,1,0,0,0,0,0,0,0,0,6,0
2022-07-17,0,0,0,0,0,1,1,0,46,1,0,0,0,0,0,0,0,0,6,0
2022-07-24,0,0,0,0,0,1,0,0,45,1,1,0,0,0,0,0,0,0,6,1
2022-07-31,0,0,0,0,0,1,0,0,43,1,0,0,0,0,0,0,0,0,6,0
2022-08-07,0,0,0,0,0,1,0,0,46,1,0,1,0,0,0,0,0,0,5,0
2022-08-14,0,0,0,0,0,1,1,0,44,1,0,1,0,0,0,0,0,0,6,0
2022-08-21,0,0,0,0,0,1,1,0,49,1,0,11,0,0,0,0,0,0,6,0
2022-08-28,0,0,0,0,0,1,1,0,45,0,0,14,0,0,0,0,0,0,5,0
2022-09-04,0,0,0,0,0,1,1,0,43,1,0,13,0,0,0,0,0,0,5,1
2022-09-11,0,0,0,0,0,1,0,0,45,1,0,10,0,0,0,0,0,0,5,0
2022-09-18,0,0,0,0,0,1,0,0,46,0,0,7,0,0,0,0,0,0,5,0
2022-09-25,0,0,0,0,0,1,1,0,48,1,0,9,0,0,0,0,0,0,5,1
2022-10-02,0,0,0,0,0,1,1,0,48,0,0,7,0,0,0,0,0,0,5,1
2022-10-09,0,0,0,0,0,1,0,0,50,1,0,7,0,0,0,0,0,0,5,0
2022-10-16,0,0,0,0,0,1,0,0,47,0,0,7,0,0,0,0,0,0,5,0
2022-10-23,0,0,0,0,0,1,0,0,48,0,0,10,0,0,0,0,0,0,5,0
2022-10-30,0,0,0,0,0,1,0,0,48,1,0,12,0,0,0,0,0,0,5,0
2022-11-06,0,0,0,0,0,1,0,0,47,1,0,9,0,0,0,0,0,0,5,1
2022-11-13,0,0,0,0,0,1,0,0,46,1,0,8,0,0,0,0,0,0,4,1
2022-11-20,0,0,0,0,0,1,0,0,42,1,0,8,0,0,0,0,0,0,4,0
2022-11-27,0,0,0,0,0,1,0,0,43,0,0,8,0,0,0,0,0,0,4,0
2022-12-04,2,0,0,0,0,1,0,0,46,1,0,11,0,0,0,0,0,1,4,1
2022-12-11,3,0,0,0,0,1,1,0,47,0,0,11,0,0,0,0,0,1,6,1
2022-12-18,2,0,0,0,0,1,1,0,43,0,0,10,0,0,0,0,0,0,5,1
2022-12-25,2,1,0,0,0,1,0,0,46,1,0,10,0,0,1,0,0,0,6,0
2023-01-01,2,1,0,0,0,1,0,0,43,1,0,8,0,0,0,0,0,0,5,0
2023-01-08,4,1,0,0,0,1,1,0,49,1,0,9,0,0,1,0,0,0,5,1
2023-01-15,5,1,0,0,0,1,1,0,46,0,0,8,0,0,1,0,0,0,4,1
2023-01-22,6,1,0,0,0,1,1,0,48,0,0,8,0,0,1,0,0,0,5,1
2023-01-29,5,1,0,0,0,1,1,0,49,0,0,9,0,0,1,0,0,0,5,0
2023-02-05,6,1,0,0,0,1,1,0,50,0,0,9,0,0,1,0,0,0,5,0
2023-02-12,7,1,0,0,0,1,1,0,46,0,0,9,0,0,2,0,0,0,4,0
2023-02-19,7,1,0,0,0,1,1,0,49,0,0,11,0,0,3,0,0,1,5,0
2023-02-26,8,1,0,0,0,1,1,0,48,1,0,10,0,0,1,0,0,0,7,1
2023-03-05,9,1,0,0,0,1,1,0,47,1,0,9,0,0,1,0,0,0,6,0
2023-03-12,10,1,0,0,0,1,1,0,48,1,0,9,0,0,1,6,0,0,5,0
2023-03-19,15,1,0,0,0,1,1,0,50,1,0,10,0,0,1,7,0,0,5,0
2023-03-26,20,2,0,0,0,1,1,0,50,1,0,11,0,0,1,4,0,0,5,1
2023-04-02,17,2,0,0,0,1,1,0,52,1,0,11,0,0,2,2,0,0,6,0
2023-04-09,22,1,0,0,0,1,1,0,49,1,0,11,0,0,3,1,0,0,4,0
2023-04-16,25,1,0,0,0,1,1,0,50,1,0,11,0,0,4,2,0,0,5,1
2023-04-23,23,1,0,0,0,1,1,0,49,1,0,11,1,0,4,1,0,0,5,0
2023-04-30,22,1,0,0,0,1,1,0,47,1,0,11,0,0,4,1,0,0,5,0
2023-05-07,22,1,0,0,0,1,1,0,50,1,0,10,0,0,4,1,0,1,5,1
2023-05-14,22,1,0,0,0,1,1,0,50,1,0,10,0,0,4,1,0,0,5,0
2023-05-21,21,1,0,0,0,1,0,0,48,1,0,8,0,0,4,2,0,0,5,1
2023-05-28,19,1,0,0,0,1,0,0,48,1,0,7,0,0,3,1,0,0,5,0
2023-06-04,17,1,0,0,0,1,0,0,49,1,0,7,0,0,2,1,0,0,5,1
2023-06-11,16,1,0,0,0,1,0,0,49,1,0,8,0,1,2,1,0,0,5,0
2023-06-18,13,1,0,0,0,1,0,0,47,1,0,7,0,0,1,1,0,0,6,0
2023-06-25,10,1,0,0,0,1,0,0,46,1,0,6,0,0,1,1,0,0,5,0
2023-07-02,9,1,0,0,0,1,0,0,47,1,0,7,0,0,1,1,0,0,5,1
2023-07-09,9,1,0,0,0,1,0,0,46,1,0,7,0,0,1,1,0,0,5,1
2023-07-16,6,0,0,0,0,1,0,0,43,1,0,5,0,0,1,1,0,0,6,0
2023-07-23,6,0,0,0,0,1,0,0,43,1,0,6,0,0,1,1,0,0,5,1
2023-07-30,5,0,0,0,0,1,0,0,46,1,0,7,0,0,0,0,0,0,5,0
2023-08-06,5,0,0,0,0,1,0,0,47,1,0,8,0,0,0,1,0,0,5,0
2023-08-13,5,0,0,0,0,1,0,0,46,1,0,7,0,0,0,0,0,0,5,0
2023-08-20,6,0,0,0,0,1,0,0,47,0,0,5,0,0,0,1,0,0,4,0
2023-08-27,7,0,0,0,0,1,0,0,43,1,0,6,0,0,0,1,0,0,5,1
2023-09-03,6,0,0,0,0,1,0,0,45,1,0,5,0,0,0,1,0,0,5,0
2023-09-10,9,0,0,0,0,1,0,0,47,1,0,5,0,0,1,1,0,0,6,0
2023-09-17,14,0,0,0,0,1,0,0,47,1,0,7,0,0,1,2,0,0,4,1
2023-09-24,15,0,0,0,0,1,0,0,51,1,0,7,0,0,2,2,0,0,5,1
2023-10-01,12,1,0,0,0,1,0,0,49,1,0,7,0,0,2,2,0,0,5,0
2023-10-08,10,1,0,0,0,1,1,0,53,1,0,7,0,0,2,1,0,0,5,0
2023-10-15,12,1,0,0,0,1,1,0,54,1,0,6,0,0,3,1,0,0,5,1
2023-10-22,13,0,0,0,0,1,1,0,51,1,0,7,0,0,2,2,0,0,5,1
2023-10-29,11,0,0,0,0,1,0,0,50,1,0,6,0,0,3,2,0,0,5,1
2023-11-05,13,1,0,0,0,1,0,0,51,1,13,5,0,0,3,2,0,0,5,1
2023-11-12,14,0,0,0,0,1,0,0,56,1,5,6,0,0,3,3,0,0,5,1
2023-11-19,14,0,0,0,0,1,0,0,54,1,2,7,0,0,3,4,0,0,4,1
2023-11-26,14,1,0,0,0,1,1,0,54,1,2,8,0,0,3,4,0,0,4,1
2023-12-03,12,0,0,2,0,1,0,0,55,1,2,8,0,0,2,4,0,0,6,2
2023-12-10,16,1,0,1,0,1,1,0,57,1,3,7,0,2,3,3,0,1,6,1
2023-12-17,12,1,0,0,0,1,0,0,51,1,1,7,0,1,2,3,0,0,5,1
2023-12-24,8,1,0,0,0,1,0,0,56,1,1,8,0,0,1,3,0,0,6,1
2023-12-31,8,1,0,0,0,1,0,0,51,1,1,5,0,0,1,6,0,0,6,1
2024-01-07,13,0,0,0,0,1,0,0,54,1,1,6,0,0,2,5,0,0,5,1
2024-01-14,12,1,0,0,0,1,0,0,55,0,1,5,0,1,2,6,0,0,6,1
2024-01-21,13,0,0,0,0,1,0,0,58,1,1,6,0,1,3,6,0,0,5,1
2024-01-28,14,1,0,0,0,2,0,0,58,1,1,6,0,1,3,6,0,0,6,1
2024-02-04,13,1,0,1,0,1,0,0,58,1,0,5,0,0,3,8,0,0,6,1
2024-02-11,14,0,0,3,1,1,0,0,61,1,1,7,0,0,3,9,0,0,100,0
2024-02-18,16,1,0,3,1,2,0,0,61,1,1,7,0,1,4,8,0,0,75,0
2024-02-25,14,1,0,3,1,2,0,0,58,1,1,6,0,2,2,7,0,0,31,1
2024-03-03,15,0,0,3,1,2,0,0,58,1,1,6,0,1,3,9,0,0,22,0
2024-03-10,16,0,0,3,1,2,0,0,61,1,3,5,0,1,3,9,0,0,18,1
2024-03-17,14,0,0,2,1,2,0,0,65,1,4,5,0,0,3,9,0,0,16,1
2024-03-24,9,0,0,2,0,2,0,0,59,1,2,6,0,1,1,6,0,0,16,0
2024-03-31,13,0,0,2,1,2,0,0,59,1,1,4,0,0,2,7,0,0,14,0
2024-04-07,16,0,0,2,1,2,0,0,60,1,1,5,0,1,3,8,0,0,13,0
2024-04-14,16,0,0,2,1,2,0,0,60,1,1,5,0,1,2,8,0,0,12,0
2024-04-21,16,0,0,2,1,1,0,0,61,1,2,5,0,1,3,7,0,1,11,0
2024-04-28,14,0,0,2,1,1,0,0,58,1,1,4,0,0,3,5,0,0,10,0
2024-05-05,16,0,0,2,1,1,0,0,59,1,1,4,0,0,3,6,0,0,10,1
2024-05-12,19,1,0,3,1,2,0,0,61,1,2,5,0,0,3,7,0,0,10,0
2024-05-19,19,0,0,3,1,2,0,0,64,1,1,5,0,1,3,8,0,0,11,1
2024-05-26,17,0,0,2,1,1,0,0,62,1,1,5,0,1,3,8,0,0,8,0
2024-06-02,19,0,0,3,1,2,0,0,61,1,1,4,0,1,3,6,0,0,8,0
2024-06-09,15,0,0,3,1,1,0,0,60,1,1,5,0,1,1,7,1,0,10,0
2024-06-16,12,0,0,2,0,2,0,0,56,1,1,5,0,1,1,5,0,0,9,0
2024-06-23,10,0,0,2,0,2,0,0,57,1,1,4,0,0,0,4,0,0,11,0
2024-06-30,9,0,0,2,0,2,0,0,54,1,1,3,0,1,1,5,0,0,9,0
2024-07-07,9,0,0,1,0,2,0,0,61,1,1,4,0,1,0,4,0,0,7,0
2024-07-14,8,0,0,2,0,2,0,0,59,1,1,3,0,0,0,4,0,0,8,0
2024-07-21,8,0,0,1,0,2,0,0,65,1,1,4,0,1,0,3,0,0,8,0
2024-07-28,7,0,0,2,0,1,0,0,57,1,1,3,0,1,0,3,0,0,9,1
2024-08-04,7,0,0,1,0,2,0,0,59,1,1,4,0,0,0,2,0,0,8,0
2024-08-11,8,0,0,2,0,2,0,0,59,1,10,4,0,1,0,2,0,0,8,0
2024-08-18,9,0,0,2,0,2,0,0,60,1,7,3,0,0,1,2,0,0,8,0
2024-08-25,10,0,0,2,0,2,0,0,58,2,2,4,0,0,0,2,0,0,8,0
2024-09-01,11,0,0,2,0,2,0,0,59,1,2,4,0,0,0,3,0,0,8,1
2024-09-08,18,0,0,2,1,2,0,0,59,1,3,2,0,0,1,3,0,0,8,0
2024-09-15,31,0,0,2,1,2,0,0,59,1,2,3,1,0,2,6,0,0,8,0
2024-09-22,38,0,0,3,1,2,0,0,62,1,1,3,0,0,2,6,0,0,8,0
2024-09-29,43,0,0,3,1,2,0,0,64,1,1,4,0,0,3,7,0,0,8,1
2024-10-06,45,0,0,3,1,2,0,0,65,1,1,3,0,1,2,18,0,0,6,1
2024-10-13,52,0,0,3,1,2,0,0,65,1,2,3,0,0,3,11,0,0,7,1
2024-10-20,50,0,0,3,1,2,0,0,67,1,2,3,0,1,2,11,0,0,7,1
2024-10-27,48,0,0,2,1,2,0,0,63,1,2,4,0,0,2,10,0,1,8,0
2024-11-03,54,0,0,3,1,2,0,0,68,1,1,4,0,1,2,9,0,0,8,0
2024-11-10,57,0,0,3,1,3,0,0,70,1,4,3,0,0,3,11,0,0,9,0
2024-11-17,61,0,0,4,1,2,0,0,73,1,2,3,0,1,3,11,0,0,8,0
2024-11-24,62,0,0,3,1,2,0,0,67,1,2,4,0,1,2,11,0,0,9,1
2024-12-01,56,0,0,3,1,2,0,0,68,1,4,3,0,1,2,7,0,0,9,1
2024-12-08,63,0,0,3,1,3,0,0,69,1,100,4,0,1,2,10,0,0,35,0
2024-12-15,52,0,0,3,1,2,0,0,69,1,33,3,0,1,2,8,0,0,18,0
2024-12-22,33,0,0,2,1,2,0,0,68,1,19,3,0,0,0,5,0,0,13,0
2024-12-29,33,0,0,2,1,2,0,0,69,1,13,3,0,0,0,5,0,0,12,0
2025-01-05,51,0,0,3,1,2,0,0,66,1,10,3,0,1,1,8,0,0,12,0
2025-01-12,62,0,0,4,2,2,0,0,72,1,10,4,0,1,1,11,0,0,13,0
2025-01-19,66,0,0,4,2,3,0,0,72,1,8,3,1,1,1,15,0,0,12,0
2025-01-26,63,0,0,4,2,3,0,0,75,1,9,4,0,1,2,14,0,0,10,1
2025-02-02,69,0,0,4,2,2,0,0,70,1,7,4,0,2,2,14,0,0,11,1
2025-02-09,66,0,0,4,2,2,0,0,71,1,8,4,0,5,2,14,0,0,10,1
2025-02-16,69,0,0,4,2,3,0,0,79,1,60,4,0,2,2,14,0,0,10,1
2025-02-23,64,0,0,4,2,4,0,0,77,1,51,4,0,2,1,12,0,0,13,1
2025-03-02,62,0,0,4,2,4,0,0,76,1,35,3,0,2,1,14,0,0,19,0
2025-03-09,66,0,0,4,2,4,0,0,77,1,34,4,0,2,2,13,0,0,13,0
2025-03-16,65,0,0,5,2,4,0,0,77,2,31,3,0,1,1,14,0,0,11,1
2025-03-23,69,0,0,5,2,4,0,0,78,1,44,4,0,2,2,13,0,0,17,1
2025-03-30,87,1,0,6,2,4,0,0,71,1,47,5,0,1,2,14,0,0,19,0
2025-04-06,77,0,0,6,2,3,0,0,76,1,33,3,0,2,2,13,0,0,19,0
2025-04-13,51,0,0,5,1,3,0,0,80,1,23,3,0,1,0,8,0,0,20,0
2025-04-20,66,0,0,6,2,3,0,0,80,1,31,3,0,2,1,10,0,0,21,1
2025-04-27,59,0,0,5,2,2,0,0,75,1,26,2,0,1,1,9,0,0,17,1
2025-05-04,75,0,0,6,2,3,0,0,79,1,32,3,0,1,1,12,0,0,23,0
2025-05-11,80,0,0,7,2,4,0,0,79,1,31,2,1,1,1,13,0,0,19,1
2025-05-18,81,0,0,8,2,5,0,0,80,1,32,3,0,1,1,15,0,0,18,1
2025-05-25,81,0,0,8,2,5,0,0,79,1,27,3,0,1,1,13,0,0,19,2
2025-06-01,79,0,0,8,2,5,0,0,76,1,26,3,0,1,1,13,0,0,16,0
2025-06-08,78,0,0,9,3,4,0,0,79,1,28,3,0,2,0,12,0,0,19,2
2025-06-15,62,0,0,7,2,4,0,0,76,1,21,2,0,1,0,8,0,0,17,1
2025-06-22,58,0,0,6,2,4,0,0,79,1,20,3,0,1,0,9,0,0,17,0
2025-06-29,53,0,0,7,2,4,0,0,81,1,18,3,0,1,0,9,0,0,22,0
2025-07-06,51,0,0,6,2,4,0,0,79,1,48,3,0,1,0,8,0,0,18,1
2025-07-13,53,0,0,5,2,4,0,0,86,1,42,2,0,1,0,8,0,0,17,1
2025-07-20,53,0,0,6,1,4,0,0,85,1,30,2,0,1,0,8,0,0,15,1
2025-07-27,51,0,0,5,1,4,0,0,88,1,27,2,0,1,0,7,0,0,15,1
2025-08-03,50,0,0,6,1,4,0,0,93,1,31,2,0,1,0,8,0,0,17,2
2025-08-10,38,0,0,5,1,4,0,0,90,1,30,2,0,1,0,5,0,0,15,1
2025-08-17,43,0,0,5,1,4,0,0,89,1,30,3,0,0,0,6,0,0,14,2
2025-08-24,46,0,0,7,1,4,0,0,87,1,30,3,0,1,0,7,0,0,13,1
2025-08-31,52,0,0,9,2,4,0,0,90,1,28,3,0,1,0,7,0,0,13,1
2025-09-07,59,0,0,12,2,4,0,0,84,1,27,2,0,2,0,7,0,0,14,0
2025-09-14,77,0,0,17,2,4,0,0,84,1,28,3,0,1,1,10,0,0,14,0
2025-09-21,92,0,0,14,2,4,0,0,87,1,33,1,0,1,0,10,0,0,13,1
2025-09-28,93,0,0,14,3,5,0,0,87,1,31,3,0,1,1,12,0,0,51,1
2025-10-05,94,0,0,16,3,5,0,0,94,1,40,2,0,1,1,15,0,0,93,0
2025-10-12,89,0,0,17,3,6,0,0,100,1,61,2,0,1,1,15,0,0,87,1
2025-10-19,97,0,0,19,4,6,0,0,95,1,71,2,0,1,1,14,0,0,71,0
2025-10-26,92,0,0,18,3,6,0,0,94,1,66,3,0,2,0,17,1,0,56,2
2025-11-02,95,0,0,17,3,7,0,0,95,1,67,5,0,2,1,20,1,0,53,4
2025-11-09,100,0,0,20,4,6,0,0,95,3,74,4,0,2,0,20,0,0,45,4
2025-11-16,100,0,0,23,3,6,0,0,99,2,84,3,0,2,0,15,0,0,35,2
2025-11-23,85,0,0,23,3,5,0,0,94,1,78,2,0,1,0,11,0,0,34,1
2025-11-30,81,0,0,24,3,5,0,0,93,2,73,2,0,1,0,12,0,0,32,2
